id,talk_id,conference_id,status
1202,1202,12,1
1203,1203,12,1
1204,1204,12,1
1205,1205,12,1
1206,1206,12,1
1207,1207,12,1
1208,1208,12,1
1209,1209,12,1
1210,1210,12,1
1211,1211,12,1
1212,1212,12,1
1213,1213,12,1
1214,1214,12,1
1215,1215,12,1
1216,1216,12,1
1217,1217,12,1
1218,1218,12,1
1219,1219,12,1
1220,1220,12,1
1221,1221,12,1
1222,1222,12,1
1223,1223,12,1
1224,1224,12,1
1225,1225,12,1
1226,1226,12,1
1227,1227,12,1
1229,1229,12,1
1230,1230,12,1
1231,1231,12,1
1232,1232,12,1
1233,1233,12,1
1234,1234,12,1
1235,1235,12,1
1236,1236,12,1
1237,1237,12,1
1238,1238,12,1
1239,1239,12,1
1240,1240,12,1
1241,1241,12,1
1242,1242,12,1
1243,1243,12,1
1244,1244,12,1
1245,1245,12,1
1246,1246,12,1
1247,1247,12,1
1248,1248,12,1
1249,1249,12,1
1250,1250,12,1
1251,1251,12,1
1252,1252,12,1
1253,1253,12,1
1254,1254,12,1
