id,conference_id,talk_id,label,params
1202,12,1002,presentation_method,134
1203,12,1003,presentation_method,134
1204,12,1004,presentation_method,135
1205,12,1005,presentation_method,134
1206,12,1006,presentation_method,134
1207,12,1007,presentation_method,135
1208,12,1008,presentation_method,134
1209,12,1009,presentation_method,134
1210,12,1010,presentation_method,135
1211,12,1011,presentation_method,134
1212,12,1012,presentation_method,173
1213,12,1013,presentation_method,173
1214,12,1014,presentation_method,173
1215,12,1015,presentation_method,174
1216,12,1016,presentation_method,173
1217,12,1017,presentation_method,173
1218,12,1018,presentation_method,173
1219,12,1019,presentation_method,174
1220,12,1020,presentation_method,173
1221,12,1021,presentation_method,173
1222,12,1022,presentation_method,173
1223,12,1023,presentation_method,174
1224,12,1024,presentation_method,173
1225,12,1025,presentation_method,173
1226,12,1026,presentation_method,173
1227,12,1027,presentation_method,174
1229,12,1029,presentation_method,173
1230,12,1030,presentation_method,173
1231,12,1031,presentation_method,173
1232,12,1032,presentation_method,174
1233,12,1033,presentation_method,173
1234,12,1034,presentation_method,173
1235,12,1035,presentation_method,173
1236,12,1036,presentation_method,174
1237,12,1037,presentation_method,173
1238,12,1038,presentation_method,173
1239,12,1039,presentation_method,173
1240,12,1040,presentation_method,174
1241,12,1041,presentation_method,173
1242,12,1042,presentation_method,173
1243,12,1043,presentation_method,173
1244,12,1044,presentation_method,174
1245,12,1045,presentation_method,173
1246,12,1046,presentation_method,173
1247,12,1047,presentation_method,173
1248,12,1048,presentation_method,174
1249,12,1049,presentation_method,173
1250,12,1050,presentation_method,173
1251,12,1051,presentation_method,173
1252,12,1052,presentation_method,174
1253,12,1053,presentation_method,173
1254,12,1054,presentation_method,173
