talk_id,speaker_id
1202,1202
1203,1203
1204,1204
1205,1205
1206,1206
1207,1207
1208,1208
1209,1209
1210,1210
1211,1211
1212,1212
1213,1213
1214,1214
1215,1215
1216,1216
1217,1217
1218,1218
1219,1219
1220,1220
1221,1221
1222,1229
1223,1230
1224,1202
1225,1203
1226,1204
1227,1205
1229,1206
1230,1207
1231,1208
1232,1209
1233,1210
1234,1211
1235,1212
1236,1213
1237,1214
1238,1215
1239,1216
1240,1217
1241,1218
1242,1219
1243,1220
1244,1221
1245,1229
1246,1230
1247,1219
1248,1220
1249,1221
1250,1219
1251,1220
1252,1221
1253,1229
1254,1230
