talk_id,speaker_id
301,301
302,302
303,303
304,304
304,305
305,306
306,307
307,308
308,309
309,310
310,311
311,312
312,313
313,314
314,315
315,316
316,317
317,318
318,319
319,320
320,321
321,322
322,323
323,324
324,325
325,326
326,327
327,328
328,329
329,330
330,331
331,332
332,333
333,334
334,335
335,336
336,337
337,338
337,339
337,340
337,341
338,342
339,343
340,344
341,345
342,346
343,347
344,348
345,349
346,350
347,351
348,352
348,353
348,354
349,355
350,356
351,357
352,358
353,359
354,360
355,361
355,362
355,363
358,301
359,302
360,303
361,304
