id,talk_id,conference_id,status
701,701,7,1
702,702,7,1
703,703,7,1
704,704,7,1
705,705,7,1
706,706,7,1
707,707,7,1
708,708,7,1
709,709,7,1
710,710,7,1
711,711,7,1
712,712,7,1
713,713,7,1
714,714,7,1
715,715,7,1
716,716,7,1
717,717,7,1
718,718,7,1
719,719,7,1
720,720,7,1
721,721,7,1
722,722,7,1
723,723,7,1
724,724,7,1
725,725,7,1
726,726,7,1
727,727,7,1
728,728,7,1
729,729,7,1
730,730,7,1
731,731,7,1
732,732,7,1
733,733,7,1
734,734,7,1
735,735,7,1
736,736,7,1
737,737,7,1
738,738,7,1
739,739,7,1
740,740,7,1
741,741,7,1
742,742,7,1
743,743,7,1
744,744,7,1
745,745,7,1
746,746,7,1
747,747,7,1
748,748,7,1
749,749,7,1
750,750,7,1
751,751,7,1
752,752,7,1
753,753,7,1
754,754,7,1
755,755,7,1
756,756,7,1
757,757,7,1
758,758,7,1
759,759,7,1
760,760,7,1
761,761,7,1
762,762,7,1
763,763,7,1
764,764,7,1
765,765,7,1
766,766,7,1
767,767,7,1
768,768,7,1
769,769,7,1
770,770,7,1
771,771,7,1
772,772,7,1
773,773,7,2
774,774,7,2
775,775,7,2
776,776,7,2
777,777,7,2
778,778,7,2
779,779,7,2
780,780,7,2
781,781,7,2
782,782,7,2
783,783,7,2
784,784,7,2
785,785,7,2
786,786,7,2
787,787,7,2
788,788,7,2
789,789,7,2
790,790,7,2
791,791,7,2
792,792,7,2
793,793,7,2
794,794,7,2
795,795,7,2
796,796,7,2
797,797,7,2
798,798,7,2
799,799,7,2
800,800,7,2
801,801,7,2
802,802,7,2
