talk_id,speaker_id
701,701
702,702
703,703
704,704
704,705
705,706
706,707
707,708
708,709
709,710
710,711
711,712
712,713
713,714
714,715
715,716
716,717
717,718
718,719
719,720
720,721
721,722
722,723
723,724
724,725
725,726
726,727
727,728
728,729
729,730
730,731
731,732
732,733
733,734
734,735
735,736
736,737
737,738
737,739
737,740
737,741
738,742
739,743
740,744
741,745
742,746
743,747
744,748
745,749
746,750
747,751
748,752
748,753
748,754
749,755
750,756
751,757
752,758
753,759
754,760
755,761
755,762
755,763
758,701
759,702
760,703
761,704
