id,conference_id,talk_id,label,params
1302,15,1302,presentation_method,193
1303,15,1303,presentation_method,193
1304,15,1304,presentation_method,194
1305,15,1305,presentation_method,193
1306,15,1306,presentation_method,193
1307,15,1307,presentation_method,194
1308,15,1308,presentation_method,193
1309,15,1309,presentation_method,193
1310,15,1310,presentation_method,194
1311,15,1311,presentation_method,193
1312,15,1312,presentation_method,193
1313,15,1313,presentation_method,194
1314,15,1314,presentation_method,193
1315,15,1315,presentation_method,193
1316,15,1316,presentation_method,194
1317,15,1317,presentation_method,193
1318,15,1318,presentation_method,193
1319,15,1319,presentation_method,194
1320,15,1320,presentation_method,193
1321,15,1321,presentation_method,193
1322,15,1322,presentation_method,194
1323,15,1323,presentation_method,193
1324,15,1324,presentation_method,193
1325,15,1325,presentation_method,194
1326,15,1326,presentation_method,193
1327,15,1327,presentation_method,193
1328,15,1328,presentation_method,194
1329,15,1329,presentation_method,193
1330,15,1330,presentation_method,193
1402,15,1402,presentation_method,193
1403,15,1403,presentation_method,193
1404,15,1404,presentation_method,194
1405,15,1405,presentation_method,193
1406,15,1406,presentation_method,193
1407,15,1407,presentation_method,194
1408,15,1408,presentation_method,193
1409,15,1409,presentation_method,193
1410,15,1410,presentation_method,194
1411,15,1411,presentation_method,193
1412,15,1412,presentation_method,193
1413,15,1413,presentation_method,194
1414,15,1414,presentation_method,193
1415,15,1415,presentation_method,193
1416,15,1416,presentation_method,194
1417,15,1417,presentation_method,193
1418,15,1418,presentation_method,193
1419,15,1419,presentation_method,194
1420,15,1420,presentation_method,193
1421,15,1421,presentation_method,193
1422,15,1422,presentation_method,194
1423,15,1423,presentation_method,193
1424,15,1424,presentation_method,193
1425,15,1425,presentation_method,194
1426,15,1426,presentation_method,193
1427,15,1427,presentation_method,193
1428,15,1428,presentation_method,194
1429,15,1429,presentation_method,193
1430,15,1430,presentation_method,193
