id,conference_id,talk_id,label,params
902,9,902,presentation_method,114
903,9,903,presentation_method,114
904,9,904,presentation_method,115
905,9,905,presentation_method,114
906,9,906,presentation_method,114
907,9,907,presentation_method,115
908,9,908,presentation_method,114
909,9,909,presentation_method,114
910,9,910,presentation_method,115
911,9,911,presentation_method,114
912,9,912,presentation_method,114
913,9,913,presentation_method,115
914,9,914,presentation_method,114
915,9,915,presentation_method,114
916,9,916,presentation_method,115
917,9,917,presentation_method,114
918,9,918,presentation_method,114
919,9,919,presentation_method,115
920,9,920,presentation_method,114
921,9,921,presentation_method,114
931,9,931,presentation_method,115
932,9,932,presentation_method,115
