id,talk_id,conference_id,status
1,401,5,1
2,402,5,1
3,403,5,1
4,404,5,1
5,405,5,1
6,406,5,1
7,407,5,1
8,408,5,1
9,409,5,1
10,410,5,1
11,411,5,1
12,412,5,1
13,413,5,1
14,414,5,1
15,415,5,1
16,416,5,1
17,417,5,1
18,418,5,1
19,419,5,1
20,420,5,1
21,421,5,1
22,422,5,1
23,423,5,2
24,424,5,2
25,425,5,2
26,426,5,2
27,427,5,2
28,428,5,2
29,429,5,2
30,430,5,2
31,431,5,2
32,432,5,2
33,433,5,2
34,434,5,2
35,435,5,2
36,436,5,2
37,437,5,2
38,438,5,2
39,439,5,2
40,440,5,2
41,441,5,2
42,442,5,2
43,443,5,2
44,444,5,2
45,445,5,2
46,446,5,2
47,447,5,2
48,448,5,2
49,449,5,2
50,450,5,2
51,451,5,2
52,452,5,2
53,453,5,2
54,454,5,2
55,455,5,2
56,456,5,2
57,457,5,2
58,458,5,2
59,459,5,2
60,460,5,2
61,461,5,2
62,465,5,2
63,466,5,2
64,467,5,2
65,468,5,2
66,469,5,2
