talk_id,speaker_id
1002,1002
1003,1003
1004,1004
1005,1005
1006,1006
1007,1007
1008,1008
1009,1009
1010,1010
1011,1011
1012,1012
1013,1013
1014,1014
1015,1015
1016,1016
1017,1017
1018,1018
1019,1019
1020,1020
1021,1021
1022,1029
1023,1030
1024,1002
1025,1003
1026,1004
1027,1005
1029,1006
1030,1007
1031,1008
1032,1009
1033,1010
1034,1011
1035,1012
1036,1013
1037,1014
1038,1015
1039,1016
1040,1017
1041,1018
1042,1019
1043,1020
1044,1021
1045,1029
1046,1030
1047,1019
1048,1020
1049,1021
1050,1019
1051,1020
1052,1021
1053,1029
1054,1030
