id,conference_id,talk_id,label,params
1302,13,1302,presentation_method,193
1303,13,1303,presentation_method,193
1304,13,1304,presentation_method,194
1305,13,1305,presentation_method,193
1306,13,1306,presentation_method,193
1307,13,1307,presentation_method,194
1308,13,1308,presentation_method,193
1309,13,1309,presentation_method,193
1310,13,1310,presentation_method,194
1311,13,1311,presentation_method,193
1312,13,1312,presentation_method,193
1313,13,1313,presentation_method,194
1314,13,1314,presentation_method,193
1315,13,1315,presentation_method,193
1316,13,1316,presentation_method,194
1317,13,1317,presentation_method,193
1318,13,1318,presentation_method,193
1319,13,1319,presentation_method,194
1320,13,1320,presentation_method,193
1321,13,1321,presentation_method,193
1331,13,1331,presentation_method,193
1332,13,1332,presentation_method,194
