id,talk_id,conference_id,status
101,501,6,1
102,502,6,1
103,503,6,1
104,504,6,1
105,505,6,1
106,506,6,1
107,507,6,1
108,508,6,1
109,509,6,1
110,510,6,1
111,511,6,1
112,512,6,1
113,513,6,1
114,514,6,1
115,515,6,1
116,516,6,1
117,517,6,1
118,518,6,1
119,519,6,1
120,520,6,1
121,521,6,1
122,522,6,1
123,523,6,2
124,524,6,2
125,525,6,2
126,526,6,2
127,527,6,2
128,528,6,2
129,529,6,2
130,530,6,2
131,531,6,2
132,532,6,2
133,533,6,2
134,534,6,2
135,535,6,2
136,536,6,2
137,537,6,2
138,538,6,2
139,539,6,2
140,540,6,2
141,541,6,2
142,542,6,2
143,543,6,2
144,544,6,2
145,545,6,2
146,546,6,2
147,547,6,2
148,548,6,2
149,549,6,2
150,550,6,2
151,551,6,2
152,552,6,2
153,553,6,2
154,554,6,2
155,555,6,2
156,556,6,2
157,557,6,2
158,558,6,2
159,559,6,2
160,560,6,2
161,561,6,2
162,565,6,2
163,566,6,2
164,567,6,2
165,568,6,2
166,569,6,2
